Employee No,Profit Center,Employee Name,Employee Position,Employee Location,People Group,Employee Category,Supervisor name,Join Date,Current Status,Termination Date,Total Hours,Total Available Hours,Work Hours,Leave Hours,Training Hours,BD Hours,NC Hours,Utilization%,Tenure
11,PC - 3,Aili Nessy,Level 4,Location 1,Client Service Staff,Serving Notice Period,Cacilia Aimee,2004-11-30,Resigned,2017-01-31,1616,1528.0,720.0,88.0,0.0,0.0,888.0,0.4712041884816754,4445
12,PC - 3,Revkah Stephie,Level 2,Location 1,Client Service Staff,Level 1/2,Barbee Joey,2004-11-30,Active,2021-11-30,2088,1898.0,1571.0,172.0,18.0,386.0,190.0,0.827713382507903,6209
13,PC - 3,Cacilia Aimee,Level 2,Location 1,Client Service Staff,Level 1/2,Idalina Lauraine,2004-12-31,Active,2021-11-30,2088,1848.5,331.0,168.0,71.5,1175.0,875.5,0.17906410603191777,6178
14,PC - 6,Tallia Eyde,Level 2,Location 1,Client Service Staff,Level 1/2,Idalina Lauraine,2005-02-28,Active,2021-11-30,2088,1886.0,421.0,200.0,2.0,993.0,622.0,0.22322375397667021,6119
15,PC - 3,Peria Maryjo,Level 4,Location 2,Client Service Staff,Serving Notice Period,Barbee Joey,2005-02-28,Resigned,2016-08-31,872,766.0,36.0,104.0,2.0,0.0,746.0,0.04699738903394256,4202
16,PC - 3,Zaria Dawn,Level 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2005-11-30,Active,2021-11-30,2088,1899.5,958.0,176.0,12.5,1068.0,11.5,0.5043432482232166,5844
17,PC - 1,Trudey Lissi,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2005-12-31,Active,2021-11-30,2088,1884.0,505.0,184.0,20.0,0.0,1391.0,0.2680467091295117,5813
18,PC - 3,Marina Garnette,Level 3,Location 1,Client Service Staff,Confirmed Staff,Barbee Joey,2006-01-31,Active,2021-11-30,2088,1875.0,141.0,176.0,37.0,256.0,1508.0,0.0752,5782
19,PC - 3,Cordey Sofia,Level 3,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2006-05-31,Active,2021-11-30,2088,1888.0,301.0,200.0,0.0,20.0,1647.0,0.1594279661016949,5662
20,PC - 5,Leonanie Lexine,Level 6,Location 7,Client Service Staff,Confirmed Staff,Orsa Margeaux,2006-06-30,Active,2021-11-30,2088,1868.0,2249.0,152.0,68.0,0.0,16.0,1.2039614561027838,5632
21,PC - 1,Alvinia Ede,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2006-07-31,Active,2021-11-30,2088,2008.0,1232.0,80.0,0.0,767.0,34.0,0.6135458167330677,5601
22,PC - 2,Marys Essy,Level 3,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,2006-11-30,Active,2021-11-30,2088,1888.0,1279.0,200.0,0.0,0.0,705.0,0.6774364406779662,5479
23,PC - 1,Em Cacilie,Level 4,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2006-12-31,Active,2021-11-30,2088,1853.0,605.0,224.0,11.0,1256.0,8.0,0.3264975715056665,5448
24,PC - 5,Rina Debee,Level 3,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2006-12-31,Active,2021-11-30,2088,1866.0,102.5,172.0,50.0,195.0,1599.5,0.05493033226152197,5448
25,PC - 3,Oriana Tabby,Level 3,Location 4,Client Service Staff,Confirmed Staff,Barbee Joey,2007-01-31,Active,2021-11-30,2088,1834.5,876.0,204.0,49.5,192.0,807.5,0.47751430907604253,5417
26,PC - 3,Marney Anderea,Level 4,Location 2,Client Service Staff,Confirmed Staff,Revkah Stephie,2007-03-31,Active,2021-11-30,2088,1818.5,1673.0,260.0,9.5,4.0,161.5,0.9199890019246632,5358
27,PC - 3,Danette Melinda,Level 4,Location 4,Client Service Staff,Confirmed Staff,Barbee Joey,2007-03-31,Active,2021-11-30,2088,1840.5,789.0,227.0,20.5,8.0,1071.5,0.4286878565607172,5358
28,PC - 3,Kynthia Hildy,Level 3,Location 2,Client Service Staff,Confirmed Staff,Barbee Joey,2007-07-31,Active,2021-11-30,2088,1910.0,1111.5,144.0,34.0,96.0,722.5,0.5819371727748691,5236
29,PC - 1,Cynthia Leonora,Level 4,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2007-11-30,Active,2021-11-30,2088,1893.0,997.0,168.0,27.0,8.0,1045.0,0.5266772319070259,5114
30,PC - 3,Kristina Alleen,Level 4,Location 1,Client Service Staff,Confirmed Staff,Barbee Joey,2008-04-30,Active,2021-11-30,2088,1865.5,448.0,216.0,6.5,910.0,619.5,0.2401500938086304,4962
31,PC - 3,Nikolia Shirl,Level 4,Location 1,Client Service Staff,Confirmed Staff,Kalindi Toma,2008-04-30,Active,2021-11-30,2088,1959.0,460.0,120.0,9.0,274.0,1238.0,0.23481368044920878,4962
32,PC - 1,Gisella Nickie,Level 5,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2008-05-31,Active,2021-11-30,2088,1880.0,687.5,176.0,32.0,0.0,1488.0,0.36569148936170215,4931
33,PC - 1,Blondy Tatiania,Level 5,Location 3,Client Service Staff,Confirmed Staff,Irene Candis,2008-05-31,Active,2021-11-30,2088,1747.0,885.0,312.0,29.0,6.0,864.0,0.5065827132226675,4931
34,PC - 1,Beverlee Giana,Level A2,Location 3,Support Staff,Confirmed Staff,Idalina Lauraine,2008-11-30,Active,2021-11-30,2088,1856.0,0.0,232.0,0.0,0.0,1856.0,0.0,4748
35,PC - 3,Alika Malia,Level 6,Location 2,Client Service Staff,Confirmed Staff,Kynthia Hildy,2008-11-30,Active,2021-11-30,2088,795.0,317.0,1288.0,5.0,0.0,478.0,0.3987421383647799,4748
36,PC - 6,Charlotta Marena,Level 4,Location 7,Client Service Staff,Serving Notice Period,Daryl Natalina,2009-01-31,Resigned,2016-08-31,848,768.0,688.0,80.0,0.0,0.0,80.0,0.8958333333333334,2769
37,PC - 2,Terza Gwyn,Level 5,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,2009-05-31,Active,2021-11-30,2088,1974.0,836.0,72.0,42.0,112.0,1103.0,0.42350557244174264,4566
38,PC - 3,Genvieve Celeste,Level 5,Location 4,Client Service Staff,Confirmed Staff,Kalindi Toma,2009-06-30,Active,2021-11-30,2088,1846.0,1211.0,200.0,42.0,16.0,644.0,0.6560130010834236,4536
39,PC - 3,Kim Consuela,Level A2,Location 1,Support Staff,Confirmed Staff,Cacilia Aimee,2009-06-30,Active,2021-11-30,2088,1772.5,0.0,312.0,3.5,0.0,2458.5,0.0,4536
40,PC - 1,Nerissa Jackquelin,Level 5,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2009-06-30,Active,2021-11-30,2088,1864.0,1303.43,224.0,0.0,0.0,1062.5,0.6992650214592275,4536
41,PC - 6,Frances Mignonne,Level 4,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2009-06-30,Active,2021-11-30,2088,1741.0,979.0,252.0,95.0,0.0,834.0,0.5623205054566341,4536
42,PC - 3,Kimberli Shandra,Level 6,Location 1,Client Service Staff,Serving Notice Period,Marina Garnette,2009-07-31,Resigned,2016-07-31,544,352.0,336.0,192.0,0.0,0.0,40.0,0.9545454545454546,2557
43,PC - 3,Moira Vivien,Level 5,Location 2,Client Service Staff,Confirmed Staff,Vonni Bethena,2009-08-31,Active,2021-11-30,2088,1906.5,1569.0,152.0,29.5,134.0,251.5,0.8229740361919748,4474
44,PC - 1,Erminie Ericka,Level 4,Location 3,Client Service Staff,Confirmed Staff,Rochette Jilleen,2009-08-31,Active,2021-11-30,2088,1909.0,740.0,162.0,17.0,1178.0,0.0,0.38763750654793083,4474
45,PC - 5,Jenny Kasey,Level 7,Location 1,Client Service Staff,Serving Notice Period,Orsa Margeaux,2010-01-31,Active,2021-11-30,2088,1824.0,1912.0,256.0,8.0,0.0,0.0,1.0482456140350878,4321
46,PC - 1,Kirsti Vikky,Level 6,Location 3,Client Service Staff,Confirmed Staff,Cynthia Leonora,2010-01-31,Active,2021-11-30,480,440.0,180.0,40.0,0.0,0.0,260.0,0.4090909090909091,4321
47,PC - 2,Annmaria Alissa,Level 6,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,2010-02-28,Active,2021-11-30,2088,1889.0,808.0,312.0,111.0,233.0,598.0,0.4277395447326628,4293
48,PC - 2,Philippe Kizzie,Level 3,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2010-03-31,Active,2021-11-30,2088,1949.5,533.0,128.0,10.5,750.5,729.0,0.2734034367786612,4262
49,PC - 2,Orelee Hanna,Level 5,Location 9,Client Service Staff,Confirmed Staff,Marleah Bernadina,2010-04-30,Active,2021-11-30,2088,1954.0,755.0,128.0,6.0,0.0,1217.0,0.38638689866939613,4232
50,PC - 6,Leta Evangeline,Level 5,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2010-05-31,Active,2021-11-30,2088,1784.0,523.0,180.0,124.0,120.0,1285.0,0.29316143497757846,4201
51,PC - 3,Leilah Nanni,Level 6,Location 1,Client Service Staff,Confirmed Staff,Revkah Stephie,2010-05-31,Active,2021-11-30,2088,1926.0,1944.0,152.0,10.0,0.0,8.0,1.0093457943925233,4201
52,PC - 3,Kathye Edna,Level 5,Location 1,Client Service Staff,Confirmed Staff,Tallia Eyde,2010-05-31,Active,2021-11-30,2088,1918.0,96.0,160.0,10.0,0.0,1822.0,0.05005213764337852,4201
53,PC - 1,Rebekkah Brigid,Level 7,Location 3,Client Service Staff,Serving Notice Period,Em Cacilie,2010-05-31,Resigned,2016-12-31,88,88.0,0.0,0.0,0.0,0.0,0.0,0.0,2406
54,PC - 2,Anallese Loleta,Level 5,Location 7,Client Service Staff,Serving Notice Period,Philippe Kizzie,2010-06-30,Resigned,2016-12-31,1520,1362.0,865.0,112.0,46.0,472.0,84.0,0.6350954478707783,2376
55,PC - 6,Timmy Corene,Level 6,Location 3,Client Service Staff,Serving Notice Period,Lindy Marguerite,2010-06-30,Resigned,2016-09-30,1008,792.0,440.0,216.0,0.0,0.0,352.0,0.5555555555555556,2284
56,PC - 3,Madelyn Shane,Level 6,Location 1,Client Service Staff,Confirmed Staff,Cordey Sofia,2010-05-31,Active,2021-11-30,2088,1852.0,1769.0,224.0,12.0,0.0,306.0,0.9551835853131749,4201
57,PC - 3,Celka Dorree,Level 5,Location 1,Client Service Staff,Confirmed Staff,Marina Garnette,2010-08-31,Active,2021-11-30,2088,1320.0,607.5,744.0,24.0,0.0,728.5,0.4602272727272727,4109
58,PC - 2,Tallulah Kassia,Level 5,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,2010-08-31,Active,2021-11-30,2088,1150.0,447.0,876.0,62.0,529.0,238.0,0.38869565217391305,4109
59,PC - 2,Aimil Latisha,Level 5,Location 7,Client Service Staff,Confirmed Staff,Dorotea Inger,2010-08-31,Active,2021-11-30,2088,1765.5,1362.5,220.0,102.5,0.0,877.5,0.7717360521098839,4109
60,PC - 6,Pamelina Shalna,Level 4,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2010-09-30,Active,2021-11-30,2088,2020.0,268.0,32.0,36.0,0.0,1768.0,0.13267326732673268,4079
61,PC - 2,Jillian Lorelei,Level 4,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2010-09-30,Active,2021-11-30,2088,1936.0,1162.94,120.0,32.0,507.5,342.56,0.6006921487603306,4079
62,PC - 3,Madella Ann-Marie,Level 6,Location 4,Client Service Staff,Secondee-Outward-Without Pay,Oriana Tabby,2010-10-31,Secondment,2021-11-30,1056,816.0,492.0,224.0,16.0,0.0,372.0,0.6029411764705882,4048
63,PC - 3,Tarah Sean,Level A3,Location 1,Support Staff,Confirmed Staff,Barbee Joey,2010-11-30,Active,2021-11-30,2088,1755.0,0.0,332.0,1.0,0.0,1771.0,0.0,4018
64,PC - 2,Chiarra Constancy,Level A2,Location 7,Support Staff,Confirmed Staff,Daryl Natalina,2010-11-30,Active,2021-11-30,2088,1835.5,0.0,244.0,8.5,0.0,1860.5,0.0,4018
65,PC - 3,Hildagarde Erina,Level 7,Location 1,Client Service Staff,Serving Notice Period,Rosabel Saidee,2010-11-30,Resigned,2016-09-30,896,757.0,392.0,136.0,3.0,0.0,357.0,0.5178335535006605,2131
66,PC - 3,Leela Jsandye,Level 6,Location 2,Client Service Staff,Confirmed Staff,Vonni Bethena,2011-01-31,Active,2021-11-30,2088,1830.0,1644.0,248.0,10.0,0.0,266.0,0.898360655737705,3956
67,PC - 6,Ruthe Bellina,Level 5,Location 9,Client Service Staff,Confirmed Staff,Lenora Nydia,2011-01-31,Active,2021-11-30,2088,1854.0,1477.0,200.0,34.0,0.0,390.0,0.796655879180151,3956
68,PC - 2,Dannie Clotilda,Level 5,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,2011-01-31,Active,2021-11-30,2088,1826.0,1605.0,168.0,94.0,34.0,538.0,0.8789704271631983,3956
69,PC - 6,Lee Alfie,Level 5,Location 3,Client Service Staff,Confirmed Staff,Tallia Eyde,2011-01-31,Active,2021-11-30,2088,1800.0,732.0,264.0,24.0,272.0,820.0,0.4066666666666667,3956
70,PC - 2,Imelda Madalena,Level 5,Location 9,Client Service Staff,Confirmed Staff,Lenora Nydia,2011-02-28,Active,2021-11-30,2088,1748.0,939.0,302.0,38.0,272.0,555.0,0.5371853546910755,3928
71,PC - 2,Klarrisa Theresita,Level 5,Location 7,Client Service Staff,Confirmed Staff,Philippe Kizzie,2011-02-28,Active,2021-11-30,2088,1779.75,1528.0,296.0,12.25,0.0,265.0,0.8585475488130355,3928
72,PC - 3,Agata Theodosia,Level 4,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2011-03-31,Active,2021-11-30,2088,1976.0,162.0,112.0,0.0,1814.0,0.0,0.08198380566801619,3897
73,PC - 3,Cortney Wanids,Level 5,Location 1,Client Service Staff,Confirmed Staff,Zaria Dawn,2011-03-31,Active,2021-11-30,2088,1808.0,1198.0,168.0,112.0,16.0,728.0,0.6626106194690266,3897
74,PC - 1,Ariel Jaimie,Level 6,Location 3,Client Service Staff,Serving Notice Period,Ardys Katerine,2011-03-31,Resigned,2016-05-31,272,224.0,168.0,48.0,0.0,0.0,72.0,0.75,1888
75,PC - 5,Norene Ethelyn,Level 6,Location 2,Client Service Staff,Confirmed Staff,Guenevere Florida,2011-04-30,Active,2021-11-30,2088,1862.0,1903.5,208.0,18.0,0.0,97.0,1.0222878625134264,3867
76,PC - 2,Goldarina Cecilia,Level 6,Location 7,Client Service Staff,Confirmed Staff,Myrtie Brana,2011-04-30,Active,2021-11-30,2088,1684.0,862.5,336.0,68.0,121.0,700.5,0.5121733966745843,3867
77,PC - 7,Bernice Andrea,Level 5,Location 6,Client Service Staff,Confirmed Staff,Rochette Jilleen,2011-04-30,Active,2021-11-30,2088,1838.5,531.0,248.0,1.5,24.0,1323.0,0.28882240957302147,3867
78,PC - 2,Grissel Kirsteni,Level 7,Location 7,Client Service Staff,Serving Notice Period,Sile Lorrie,2011-05-31,Resigned,2016-08-31,768,709.0,629.0,40.0,19.0,0.0,96.0,0.8871650211565585,1919
79,PC - 2,Jaime Cordie,Level 7,Location 7,Client Service Staff,Confirmed Staff,Terza Gwyn,2011-05-31,Active,2021-11-30,2088,1780.0,1551.0,288.0,20.0,0.0,290.0,0.8713483146067416,3836
80,PC - 1,Katuscha Pru,Level 4,Location 3,Client Service Staff,Confirmed Staff,Kippy Marquita,2011-05-31,Active,2021-11-30,2088,777.0,148.0,1304.0,7.0,228.0,409.0,0.19047619047619047,3836
81,PC - 3,Dolley Lolly,Level 6,Location 1,Client Service Staff,Confirmed Staff,Rosabel Saidee,2011-05-31,Active,2021-11-30,2088,1838.0,1528.0,248.0,2.0,2.0,412.0,0.8313384113166485,3836
82,PC - 6,Tiena Hatti,Level 4,Location 1,Client Service Staff,Confirmed Staff,Tallia Eyde,2011-06-30,Active,2021-11-30,2088,2019.0,2413.0,56.0,13.0,0.0,0.0,1.1951461119366023,3806
83,PC - 2,Jolyn Briney,Level 5,Location 9,Client Service Staff,Confirmed Staff,Marleah Bernadina,2011-06-30,Active,2021-11-30,2088,1815.5,1261.4,220.0,52.5,964.5,213.0,0.6947948223629854,3806
84,PC - 1,Kary Mindy,Level 6,Location 3,Client Service Staff,Confirmed Staff,Kippy Marquita,2011-06-30,Active,2021-11-30,2088,988.0,856.0,1100.0,0.0,0.0,136.0,0.8663967611336032,3806
85,PC - 1,Trix Flori,Level 7,Location 3,Client Service Staff,Serving Notice Period,Kippy Marquita,2011-06-30,Resigned,2016-04-30,48,48.0,8.0,0.0,0.0,0.0,40.0,0.16666666666666666,1766
86,PC - 1,Claudia Meaghan,Level 5,Location 3,Client Service Staff,Confirmed Staff,Trudey Lissi,2011-06-30,Active,2021-11-30,2088,1741.0,1805.0,344.0,3.0,0.0,32.0,1.0367604824813326,3806
87,PC - 3,Dacie Lucia,Level 6,Location 2,Client Service Staff,Serving Notice Period,Kynthia Hildy,2011-06-30,Resigned,2017-02-28,1904,1579.0,1430.0,304.0,21.0,0.0,181.0,0.9056364787840405,2070
88,PC - 1,Dionne Ronna,Level 5,Location 3,Client Service Staff,Confirmed Staff,Alvinia Ede,2011-06-30,Active,2021-11-30,2088,1839.5,1551.5,248.0,0.5,0.0,296.0,0.8434357162272357,3806
89,PC - 3,Estrellita Tawsha,Level 7,Location 1,Client Service Staff,Serving Notice Period,Agata Theodosia,2011-06-30,Resigned,2016-04-30,88,88.0,64.0,0.0,0.0,0.0,24.0,0.7272727272727273,1766
90,PC - 1,Sibel Wrennie,Level 5,Location 3,Client Service Staff,Serving Notice Period,Rina Debee,2011-06-30,Resigned,2017-04-30,2088,600.0,0.0,1488.0,0.0,600.0,0.0,0.0,2131
91,PC - 2,Jacquelyn Callie,Level 6,Location 7,Client Service Staff,Confirmed Staff,Marys Essy,2011-06-30,Active,2021-11-30,2088,1763.0,1261.0,260.0,65.0,148.0,411.0,0.7152580828133863,3806
92,PC - 2,Brunhilda Rakel,Level 7,Location 7,Client Service Staff,Serving Notice Period,Marys Essy,2011-07-31,Resigned,2017-02-28,1848,1752.0,1689.4,96.0,0.0,0.0,288.0,0.9642694063926941,2039
93,PC - 6,Gert Editha,Level 5,Location 1,Client Service Staff,Confirmed Staff,Tallia Eyde,2011-08-31,Active,2021-11-30,2088,483.0,170.0,1576.0,29.0,60.0,258.0,0.35196687370600416,3744
94,PC - 1,Ezmeralda Nisse,Level 4,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2011-08-31,Active,2021-11-30,2088,1901.0,1502.0,184.0,3.0,0.0,415.0,0.7901104681746449,3744
95,PC - 2,Naomi Rebekah,Level 5,Location 7,Client Service Staff,Confirmed Staff,Marys Essy,2011-08-31,Active,2021-11-30,2088,1876.0,1991.0,184.0,28.0,0.0,0.0,1.0613006396588487,3744
96,PC - 2,Jayme Linzy,Level 6,Location 7,Client Service Staff,Secondee-Outward-Without Pay,Sile Lorrie,2011-09-30,Secondment,2021-11-30,1200,1080.0,904.0,120.0,0.0,0.0,184.0,0.837037037037037,3714
97,PC - 3,Rosalynd Catina,Level 5,Location 1,Client Service Staff,Confirmed Staff,Zaria Dawn,2011-09-30,Active,2021-11-30,2088,1814.5,1640.0,244.0,29.5,0.0,291.5,0.9038302562689446,3714
98,PC - 2,Eba Caroljean,Level 6,Location 9,Client Service Staff,Serving Notice Period,Marleah Bernadina,2011-09-30,Resigned,2016-09-30,976,850.0,432.0,96.0,30.0,30.0,434.0,0.508235294117647,1827
99,PC - 3,Marybeth Cornelia,Level 6,Location 1,Client Service Staff,Confirmed Staff,Zaria Dawn,2011-09-30,Active,2021-11-30,2088,1853.5,1893.0,192.0,42.5,0.0,11.5,1.0213110331804693,3714
100,PC - 2,Nancee Deirdre,Level 4,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,2011-09-30,Active,2021-11-30,2088,1726.0,1303.0,304.0,58.0,0.0,531.5,0.7549246813441484,3714
101,PC - 5,Orsa Margeaux,Level 4,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2011-11-30,Active,2021-11-30,2088,1900.0,630.0,168.0,20.0,0.0,1286.0,0.33157894736842103,3653
102,PC - 3,Enrica Tildi,Level 6,Location 1,Client Service Staff,Serving Notice Period,Cordey Sofia,2011-11-30,Resigned,2016-11-30,1368,1316.5,1224.0,40.0,11.5,0.0,299.5,0.9297379415115837,1827
103,PC - 5,Lian Harley,Level 4,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2011-11-30,Active,2021-11-30,2088,2008.0,364.0,72.0,8.0,0.0,1644.0,0.18127490039840638,3653
104,PC - 3,Ali Elsinore,Level 5,Location 1,Client Service Staff,Confirmed Staff,Revkah Stephie,2011-12-31,Active,2021-11-30,2088,1805.0,735.5,256.0,27.0,0.0,1070.5,0.4074792243767313,3622
105,PC - 2,Dore Natalya,Level 3,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,2012-01-31,Active,2021-11-30,2088,1893.0,568.0,164.0,31.0,707.0,722.0,0.3000528262017961,3591
106,PC - 6,Tamarra Brietta,Level 6,Location 7,Client Service Staff,Serving Notice Period,Pamelina Shalna,2012-01-31,Resigned,2016-09-30,1016,828.0,604.0,128.0,60.0,0.0,308.0,0.7294685990338164,1704
107,PC - 5,Willette Lil,Level 4,Location 1,Client Service Staff,Confirmed Staff,Cacilia Aimee,2012-01-31,Active,2021-11-30,2088,1918.0,188.0,170.0,0.0,1789.0,0.0,0.09801876955161627,3591
108,PC - 6,Sashenka Channa,Level 6,Location 7,Client Service Staff,Confirmed Staff,Frances Mignonne,2012-01-31,Active,2021-11-30,2088,1857.5,1464.0,224.0,6.5,0.0,552.0,0.7881561238223419,3591
109,PC - 3,Deloris Gabriella,Level 5,Location 5,Client Service Staff,Confirmed Staff,Kynthia Hildy,2012-02-29,Active,2021-11-30,2088,1929.5,911.0,152.0,6.5,282.0,847.5,0.472143042238922,3562
110,PC - 3,Zaneta Arlette,Level 5,Location 1,Client Service Staff,Confirmed Staff,Kalindi Toma,2012-03-31,Active,2021-11-30,2088,1818.0,1778.0,264.0,6.0,0.0,152.0,0.977997799779978,3531
111,PC - 2,Hattie Eve,Level 6,Location 7,Client Service Staff,Confirmed Staff,Trenna Mureil,2012-04-30,Active,2021-11-30,2088,1948.0,1456.0,136.0,4.0,0.0,492.0,0.7474332648870636,3501
112,PC - 2,Giselle Trixy,Level 6,Location 7,Client Service Staff,Serving Notice Period,Trenna Mureil,2012-04-30,Resigned,2016-10-31,1176,1073.0,1034.0,76.0,27.0,0.0,87.0,0.9636533084808947,1645
113,PC - 5,Beryle Lisha,Level 5,Location 1,Client Service Staff,Confirmed Staff,Willette Lil,2012-04-30,Active,2021-11-30,2088,1880.0,1644.0,192.0,16.0,0.0,268.5,0.874468085106383,3501
114,PC - 3,Iormina Lucienne,Level 5,Location 1,Client Service Staff,Confirmed Staff,Trudey Lissi,2012-04-30,Active,2021-11-30,2088,1950.0,403.0,120.0,18.0,214.0,1371.0,0.20666666666666667,3501
115,PC - 3,Mathilda Tomi,Level 6,Location 4,Client Service Staff,Confirmed Staff,Oriana Tabby,2012-04-30,Active,2021-11-30,2088,1798.0,1793.0,252.0,38.0,0.0,40.0,0.9972191323692993,3501
116,PC - 2,Amara Kamila,Level 6,Location 7,Client Service Staff,Serving Notice Period,Trenna Mureil,2012-04-30,Resigned,2017-03-31,2072,1764.0,1527.0,232.0,76.0,40.0,240.0,0.8656462585034014,1796
117,PC - 6,Hermine Malinde,Level 6,Location 1,Client Service Staff,Serving Notice Period,Tallia Eyde,2012-05-31,Resigned,2016-08-31,768,768.0,248.0,0.0,0.0,0.0,520.0,0.3229166666666667,1553
118,PC - 3,Suzi Catherin,Level 7,Location 1,Client Service Staff,Confirmed Staff,Nerita Anet,2012-05-31,Active,2021-11-30,2088,1773.75,1719.75,240.0,74.25,0.0,217.0,0.9695560253699789,3470
119,PC - 3,Eydie Francine,Level 5,Location 1,Client Service Staff,Confirmed Staff,Lenora Nydia,2012-05-31,Active,2021-11-30,2088,1950.0,1016.0,136.0,2.0,0.0,934.0,0.521025641025641,3470
120,PC - 2,Tersina Cecily,Level 6,Location 7,Client Service Staff,Confirmed Staff,Beverley Laney,2012-05-31,Active,2021-11-30,2088,1688.5,1560.5,304.0,95.5,0.0,241.0,0.9241930707728754,3470
121,PC - 1,Conni Athene,Level 5,Location 3,Client Service Staff,Confirmed Staff,Alvinia Ede,2012-05-31,Active,2021-11-30,2088,1844.5,1735.0,232.0,11.5,0.0,157.0,0.9406343182434264,3470
122,PC - 1,Sybil Georgianna,Level 5,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,2012-05-31,Active,2021-11-30,2088,1960.0,870.0,128.0,0.0,140.0,950.0,0.44387755102040816,3470
123,PC - 3,Theo Alyssa,Level 6,Location 1,Client Service Staff,Serving Notice Period,Revkah Stephie,2012-06-30,Resigned,2016-11-30,1288,1272.0,600.0,8.0,8.0,32.0,648.0,0.4716981132075472,1614
124,PC - 6,Stacey Cassey,Level 5,Location 3,Client Service Staff,Confirmed Staff,Tallia Eyde,2012-06-30,Active,2021-11-30,2088,1960.0,1242.0,128.0,0.0,0.0,718.0,0.6336734693877552,3440
